Country/Region,Material Category,Material Subtype,kg CO2e,EF Source,EF Type,Type Rationale,Source Dataset Name,Use Case
Europe,Glass,Acid-Etched Glass,1.07,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Etched glass,"Acid-Etched Glass

✅ Suitable for interior partitions, furniture panels, and decorative surfaces where aesthetics, light diffusion, privacy, and low maintenance are priorities. Ideal for applications in office spaces, retail environments, and residential interiors where visual appeal and privacy are important. Can be used in catering environments for decorative purposes where hygiene and easy cleaning are required, such as in display cases or decorative wall panels.
❌ Not suitable for structural applications, load-bearing furniture, or areas requiring thermal insulation due to its limited strength and lack of energy performance properties. Not recommended for use in exterior applications, environments where high impact resistance is necessary, or in catering equipment that requires high durability and impact resistance, such as countertops or heavy-duty kitchen surfaces."
Sweden,Glass,Smart Glass,2.36,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,smart dynamic glass,"Smart Glass

✅ Suitable for premium interior partitions and façades in commercial and high-end residential buildings where adaptive solar control, glare reduction, and energy efficiency are critical. This material enhances comfort and aesthetics by allowing dynamic control over light and heat transmission, making it ideal for environments that prioritize sustainability and occupant well-being. 
❌ Not suitable for cost-sensitive furniture applications due to the high material and installation costs, as well as the need for specialized maintenance. Catering equipment, as the material's properties do not align with the functional requirements of durability and ease of cleaning typically needed in such applications. Projects with a strong focus on recyclability, as the end-of-life recycling options for smart glass are currently limited."
Europe,Glass,Smart Glass,3.98,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,VIEW SMART GLASS,"Smart Glass

✅ Suitable for premium interior partitions and façades in commercial and high-end residential buildings where adaptive solar control, glare reduction, and energy efficiency are critical. This material enhances comfort and aesthetics by allowing dynamic control over light and heat transmission, making it ideal for environments that prioritize sustainability and occupant well-being. 
❌ Not suitable for cost-sensitive furniture applications due to the high material and installation costs, as well as the need for specialized maintenance. Catering equipment, as the material's properties do not align with the functional requirements of durability and ease of cleaning typically needed in such applications. Projects with a strong focus on recyclability, as the end-of-life recycling options for smart glass are currently limited."
China,Glass,Insulated Glass Units (IGUs),1.61,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Insulated glass,"Insulated Glass Units (IGUs)

✅ Suitable for interior partitions in climate-controlled environments where thermal insulation, noise reduction, and energy efficiency are priorities. Ideal for office spaces, meeting rooms, and other areas requiring controlled acoustics and temperature. Catering equipment glazing, such as display cases and refrigerated units, where maintaining temperature and energy efficiency is crucial. 
❌ Not suitable for furniture applications due to the fragility and weight of IGUs, which can lead to safety hazards and impracticality in handling. Areas with high mechanical stress or frequent handling, such as doors or high-traffic partitions, due to limited impact resistance and potential for breakage."
Global,Glass,Insulated Glass Units (IGUs),0.65,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Insulated glass Unit,"Insulated Glass Units (IGUs)

✅ Suitable for interior partitions in climate-controlled environments where thermal insulation, noise reduction, and energy efficiency are priorities. Ideal for office spaces, meeting rooms, and other areas requiring controlled acoustics and temperature. Catering equipment glazing, such as display cases and refrigerated units, where maintaining temperature and energy efficiency is crucial. 
❌ Not suitable for furniture applications due to the fragility and weight of IGUs, which can lead to safety hazards and impracticality in handling. Areas with high mechanical stress or frequent handling, such as doors or high-traffic partitions, due to limited impact resistance and potential for breakage."
Brazil,Glass,Colored Glass,0.32,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Clear and colored flat glass,"Colored Glass

✅ Suitable for decorative interior panels offering aesthetic appeal and can enhance the visual interest of spaces with its variety of colors and light transmittance. Ideal for non-structural elements such as tabletops or cabinet doors where visual appeal is prioritized. Provides an elegant and hygienic surface for showcasing food items, benefiting from its ease of cleaning and ability to highlight contents through light transmission. 
❌ Not suitable for load-bearing furniture components due to its brittleness, glass should not be used in structural parts that require strength and durability. Avoid using in locations prone to heavy use or potential impact, as glass can shatter under stress, posing safety risks. Unless specifically treated or designed for exterior use, glass may not withstand environmental factors such as temperature fluctuations and UV exposure."
Turkey,Glass,Mirrored Glass,1.21,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Mirror,"Mirrored Glass

✅ Suitable for use in bathrooms, bedrooms, and retail spaces due to its high reflectivity and moisture resistance. The copper/lead-free composition makes it a safer choice for indoor environments. Can be used in decorative furniture elements such as mirrored tabletops, cabinet doors, and wall panels where aesthetic appeal is prioritized. 
❌ Not suitable for outdoor applications due to its fragility and lack of impact resistance, which can lead to damage from environmental factors. Unsuitable for structural applications as it does not provide the necessary strength or support. Not appropriate for catering equipment due to its fragility and potential safety hazards in high-traffic or high-impact environments."
Global,Fabric,Polyester,4.85,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for fibre, polyester","Polyester

✅ Suitable for upholstery, drapery, and decorative textiles in furniture and interior fit-outs due to its durability, wrinkle resistance, and cost-effectiveness. It is ideal for environments where low maintenance and longevity are priorities. 
❌ Not suitable for applications where breathability is essential, such as seating in hot climates or areas requiring high comfort levels. Additionally, polyester is not recommended for projects prioritizing sustainability, as it is non-renewable, has high microplastic shedding, and lacks biodegradability. For catering equipment, polyester may be used in tablecloths and decorative elements but should be avoided in items requiring direct food contact or high heat resistance."
Rest-of-World,Fabric,Nylon,9.89,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for nylon 6,"Nylon

✅ Suitable for furniture and catering equipment applications, such as handles, drawer runners, and mechanical fittings, due to its high strength, excellent wear resistance, and thermal stability. These properties ensure durability and performance in high-use environments. Can be used in non-visible structural components where strength and durability are required, such as in joint reinforcements or support brackets.
❌ Not suitable for visible or decorative elements in interior fit-outs due to its lack of aesthetic appeal and limited design flexibility. Unsuitable for projects prioritizing sustainability, as it is derived from fossil fuels, is non-biodegradable, and typically lacks recycled content."
Europe,Fabric,Nylon,9.81,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for nylon 6,"Nylon

✅ Suitable for furniture and catering equipment applications, such as handles, drawer runners, and mechanical fittings, due to its high strength, excellent wear resistance, and thermal stability. These properties ensure durability and performance in high-use environments. Can be used in non-visible structural components where strength and durability are required, such as in joint reinforcements or support brackets.
❌ Not suitable for visible or decorative elements in interior fit-outs due to its lack of aesthetic appeal and limited design flexibility. Unsuitable for projects prioritizing sustainability, as it is derived from fossil fuels, is non-biodegradable, and typically lacks recycled content."
China,Fabric,Polyester,13.02,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Dope Dyed Polyester Knitted Fabric,"Polyester

✅ Suitable for upholstery and soft furnishings in commercial and hospitality settings where durability and color fastness are priorities. The dope dyeing process reduces water usage and environmental impact, making it a more sustainable choice for high-traffic areas. Applications where cost-effectiveness and ease of maintenance are important, such as in budget-friendly furniture, interior fit-outs, and catering equipment where easy cleaning and resilience are needed.
❌ Not suitable for high-end interiors or luxury furniture where a natural feel and breathability are desired, as the synthetic nature of polyester may not meet aesthetic and tactile expectations. Environments prioritizing sustainability through biodegradability, as polyester is not biodegradable and may not align with eco-friendly goals in certain projects, including catering equipment where natural materials are preferred for sustainability."
Germany,Fabric,Vinyl,2.29,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Vinyl wallcoverings on woven textile backing,"Vinyl

✅ Suitable for interior fit-outs where durability, washability, and ease of maintenance are priorities. Vinyl wallcoverings offer a wide range of aesthetic options and are cost-effective, making them ideal for commercial spaces such as offices, hotels, and healthcare facilities where frequent cleaning is necessary. Environments that require moderate resistance to wear and tear, such as high-traffic areas, due to the robust nature of vinyl. 
❌ Not suitable for projects with a strong focus on sustainability and environmental impact, as vinyl contains PVC, which can lead to higher emissions during production and poses challenges in terms of end-of-life disposal and recycling. Spaces where air quality is a critical concern, as vinyl can off-gas volatile organic compounds (VOCs), which may affect indoor air quality. Applications in catering equipment or furniture where direct contact with food or high temperatures is expected, as vinyl may not withstand such conditions effectively."
USA,Fabric,Acrylic,7.96,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,"Acrylic upholstery fabrics, 0.73 kg/m2, Retreat, Stripe It, and Vice Versa, KnollTextiles","Acrylic

✅ Suitable for furniture upholstery in residential and commercial settings where durability, colorfastness, and stain resistance are priorities. Acrylic fabrics are ideal for high-traffic areas due to their moderate cost and ease of maintenance. Interior fit-outs that require vibrant colors and patterns, as acrylic maintains its appearance over time and is resistant to fading. Catering equipment covers or accessories where ease of cleaning and resistance to spills are important. 
❌ Not suitable for applications where high environmental performance is a priority, as acrylic is a synthetic fiber with emissions during production and limited biodegradability. Projects aiming for sustainable certifications or those with a focus on natural or recyclable materials, as acrylic does not align with these goals. Environments with high exposure to heat or open flames, as acrylic can be flammable and may not meet fire safety standards without additional treatment."
Italy,Fabric,Wool,32.87,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Woven fabric with fibre content,"Wool

✅ Suitable for upholstery and interior textiles in residential and low-traffic commercial settings where natural fiber aesthetics and good thermal insulation are desired. Applications where biodegradability and moderate environmental impact are priorities, such as eco-friendly furniture and interior fit-outs. 
❌ Not suitable for high-moisture environments, such as bathrooms or kitchens, due to wool’s susceptibility to shrinkage and potential for mold and mildew. High-traffic or heavy-use areas, such as public seating or commercial catering equipment, where durability and low maintenance are critical, as wool may require more frequent cleaning and care compared to synthetic alternatives."
Global,Fabric,Cotton,11.12,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for textile, woven cotton","Cotton

✅ Suitable for furniture and interior applications such as soft furnishings and upholstery due to its natural origin, breathability, and comfort. Ideal for environments where comfort and aesthetics are prioritized, such as cushions and curtains. In catering, it is suitable for textiles like table linens in dining areas.
❌ Not suitable for high-moisture or industrial kitchen environments, as it absorbs liquids easily, is prone to staining, and may degrade faster without chemical treatment. In such environments, materials with higher resistance to moisture and stains, such as synthetic fibers or treated fabrics, are recommended."
Global,Fabric,Rayon (Viscose),2.19,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for fibre, viscose","Rayon (Viscose)

✅ Suitable for furniture and interior fit-outs, particularly for curtains, cushion covers, and soft furnishings in residential and low-traffic commercial settings where drape, softness, and a natural look are desired. Its cellulose-based origin provides a textile feel that is appealing for decorative purposes.
❌ Not suitable for catering equipment or high-humidity environments, such as commercial kitchens, or for heavy-use areas. Rayon has low moisture resistance and poor durability, making it unsuitable for areas where it may be exposed to water or frequent handling. Additionally, the production process involves toxic chemicals, which may not align with sustainability goals in certain projects."
Global,Fabric,Linen,1.45,Ecoinvent,Proxy,A specific emission factor was applied based on a direct match to the selected material.,"market for fibre, flax","Linen

✅ Suitable for upholstery and decorative textiles in low-traffic areas where aesthetics and breathability are prioritized, such as residential living rooms or boutique hotel lounges. Interior fit-outs that emphasize natural aesthetics and sustainability, like wall hangings, curtains, and cushions in eco-friendly spaces. Catering equipment applications where the fabric is used for decorative purposes, such as table runners or napkins in settings that are not exposed to high moisture or frequent washing.
❌ Not suitable for high-durability applications such as seating in high-traffic commercial areas or public spaces, due to its lower abrasion resistance. Moisture-prone environments like bathrooms or outdoor settings, where the potential for mildew and degradation is higher. Catering equipment that requires frequent washing or exposure to moisture, such as tablecloths in busy restaurants or bars."
USA,Fabric,Velvet (Synthetic),418.56,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,"Crepe, Dobby, Jacquard, Knit, Plain Weave, Velvet","Velvet (Synthetic)

✅ Suitable for upholstery and decorative applications in both residential and commercial environments where a luxurious texture and aesthetic appeal are desired. Commonly used on seating, cushions, curtains, and wall panels in lounges, hotels, restaurants, and hospitality spaces due to its improved durability, stain resistance, and ease of cleaning compared to natural velvet.
❌ Not suitable for heavy-duty, high-abrasion environments (e.g., public transport seating) or applications where extreme hygiene requirements exist (e.g., clinical healthcare settings). Synthetic velvet, while more durable than natural velvet, still requires careful maintenance to preserve its pile structure and appearance over time."
Sweden,Fabric,Tweed (Synthetic),27.25,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Trident Tweed,"Tweed (Synthetic)

✅ Suitable for furniture, wall coverings, and interior fit-out applications where a classic textured aesthetic is desired. Commonly used in residential settings, office spaces, and light-to-moderate commercial environments due to its durable synthetic fibers, ease of maintenance, and affordability. Ideal for use in lounge seating, decorative panels, and office waiting areas where both durability and appearance are important.
❌ Not suitable for catering equipment, direct-contact food surfaces, or environments with heavy soiling or intense abrasion, such as restaurant seating or public transport interiors, where even synthetic fabrics may require frequent cleaning or show wear over time."
Global,Fabric,Microfiber,4.85,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for fibre, polyester","Microfiber

✅ Suitable for upholstery and interior textiles in furniture and interior fit-outs due to its high durability, stain resistance, and ease of cleaning. These properties make it ideal for high-traffic areas and environments where maintenance and longevity are priorities. Applications where synthetic materials are preferred for their performance characteristics, such as in commercial settings or areas prone to spills and stains. Also suitable for catering equipment applications where easy-to-clean and durable materials are required, such as in tablecloths or cleaning cloths.
❌ Not suitable for applications requiring natural fibers, such as in settings where sustainability and low environmental impact are prioritized, due to the synthetic nature of microfiber and its higher embodied energy. Environments where biodegradability and minimal environmental emissions are critical, as synthetic microfibers can contribute to microplastic pollution and have a higher environmental footprint compared to natural alternatives. Not ideal for catering equipment where natural, biodegradable materials are preferred to minimize environmental impact."
Sweden,Fabric,Canvas (Synthetic),6.27,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"Stretched canvas (excluding installation accessories), 0.4 mm, 0.26 kg/m2, toile 495D, ECOPHON SAINT-GOBAIN","Canvas (Synthetic)

✅ Suitable for a range of furniture and interior applications, including wall coverings, upholstery, acoustic panels, and decorative elements, where durability, cleanability, and a textured appearance are desired. Common in commercial settings such as restaurants, cafes, office spaces, and hospitality environments due to its resistance to moisture, staining, and abrasion. Also appropriate for decorative displays and as a functional surface in moderate-traffic environments.
❌ Not suitable for high-end luxury upholstery where natural fiber aesthetics are prioritized, or for applications where softness and breathability of natural textiles are key requirements (e.g., residential casual upholstery). While durable, some synthetic canvases may not offer the same tactile comfort as woven natural fabrics."
Global,Fabric,Jute,3.48,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for textile, jute","Jute

✅ Suitable for decorative and light-duty interior applications where a natural, rustic aesthetic is desired. Commonly used in rugs and mats for residential and commercial spaces, especially in areas with low moisture exposure. Also used in interior fit-outs for wall coverings, partitions, and acoustic panels, contributing texture and a natural look. In furniture, jute is appropriate for non-loadbearing accents like upholstery trim, decorative wraps, and backing fabrics. For catering environments, jute can be used for decorative table runners, placemats, or rustic-style display setups where direct contact with food or liquids is not required.
❌ Not suitable for applications requiring significant durability, water resistance, or hygiene. Avoid use on seating surfaces, as upholstery for high-wear furniture, or in areas exposed to moisture or humidity (e.g., bathrooms, kitchens) unless specially treated. Jute is absorbent and may degrade over time when exposed to spills or frequent cleaning. It is not recommended for catering equipment or surfaces that require regular sanitation, or for rugs and mats in outdoor or wet environments without appropriate weatherproofing."
Global,Leather,Genuine Leather,22.00,Journal Paper,Proxy,An emission factor of a similar material (Cow Leather) was used as a proxy where a direct emission factor for the specified material could not be identified to date,Per reviewed Joural Paper (Springer Nature-Discover Sustainability),"Genuine Leather

✅ Suitable for high-end furniture and interior fit-outs where aesthetics, luxury, and comfort are prioritized. Its natural look and feel make it ideal for premium seating, upholstery, and decorative elements in low-traffic, controlled environments. 
❌ Not suitable for catering equipment or environments with high moisture, frequent spills, or heavy use due to its susceptibility to staining, fading, and higher maintenance requirements. Avoid using in kitchens, dining areas, or outdoor settings where durability and ease of cleaning are critical."
Global,Leather,Full-Grain Leather,22.00,Journal Paper,Proxy,An emission factor of a similar material (Cow Leather) was used as a proxy where a direct emission factor for the specified material could not be identified to date,Per reviewed Joural Paper (Springer Nature-Discover Sustainability),"Full-Grain Leather

✅  Suitable for high-end furniture and interior fit-outs where aesthetics, softness, and a luxurious feel are prioritized. Its natural appearance and ability to develop a patina over time make it ideal for premium settings with controlled environments. 
❌ Not suitable for catering equipment or environments with high moisture or potential for spills, such as kitchens or dining areas, due to its susceptibility to staining, water damage, and the need for regular maintenance to preserve its quality."
Global,Leather,Top-Grain Leather,22.00,Journal Paper,Proxy,An emission factor of a similar material (Cow Leather) was used as a proxy where a direct emission factor for the specified material could not be identified to date,Per reviewed Joural Paper (Springer Nature-Discover Sustainability),"Top-Grain Leather

✅ Suitable for high-end furniture and interior fit-outs where aesthetics, softness, and a luxurious feel are prioritized. Its natural appearance and comfort make it ideal for low-traffic areas or spaces where it can be maintained regularly. 
❌ Not suitable for catering equipment or environments with high moisture or potential for spills, as it is prone to staining and requires significant maintenance. Additionally, not ideal for high-traffic areas or commercial settings where durability against wear and tear is critical."
Global,Leather,Bonded Leather,12.76,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Referred PURE-ANILINE,"Bonded Leather

✅ Suitable for furniture and interior fit-outs where cost-effectiveness and a leather-like appearance are desired, but not for high-end applications due to its lower durability and natural aesthetics compared to pure-aniline leather. 
❌ Not suitable for catering equipment or high-moisture environments due to its susceptibility to peeling, staining, and higher maintenance requirements."
Global,Leather,Faux Leather (PU Leather),12.76,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Referred PURE-ANILINE,"Faux Leather (PU Leather)

✅ Suitable for furniture and interior fit-outs where a leather-like appearance is desired without the high cost and maintenance of genuine leather. It offers good durability and is easier to clean, making it a practical choice for residential and commercial settings. 
❌ Not suitable for catering equipment or environments with high moisture or heat exposure, as it can degrade over time and is prone to cracking and peeling under such conditions."
Global,Leather,Vinyl Leather,12.76,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Referred PURE-ANILINE,"Vinyl Leather

✅ Suitable for furniture and interior fit-outs where durability and ease of maintenance are prioritized, such as in commercial settings or areas with high foot traffic. Vinyl leather offers a wide range of colors and patterns, making it versatile for various design aesthetics. 
❌ Not suitable for high-end furniture or interiors where natural aesthetics and softness are prioritized, as vinyl leather lacks the luxurious feel and appearance of genuine leather. Additionally, it is not ideal for catering equipment or high-moisture environments due to potential issues with heat and moisture exposure, which can lead to degradation over time."
Sweden,Leather,Aniline Leather,12.76,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,PURE-ANILINE,"Aniline Leather

✅ Suitable for high-end furniture and interior fit-outs where aesthetics and comfort are prioritized, such as luxury sofas, chairs, and decorative wall panels, due to its natural beauty, softness, and ability to develop a unique patina over time. 
❌ Not suitable for catering equipment or environments with high moisture or heavy use, such as kitchens, dining areas, or outdoor settings, due to its susceptibility to staining, fading, and higher maintenance requirements."
Global,Leather,Semi-Aniline Leather,22.00,Journal Paper,Proxy,An emission factor of a similar material (Cow Leather) was used as a proxy where a direct emission factor for the specified material could not be identified to date,Per reviewed Joural Paper (Springer Nature-Discover Sustainability),"Semi-Aniline Leather

✅ Suitable for high-end furniture and interior fit-outs due to its natural aesthetics, softness, and moderate durability. It offers a balance between the natural look of pure aniline leather and the protective qualities of pigmented leather, making it ideal for luxury settings where appearance is prioritized. 
❌ Not suitable for catering equipment or environments with high moisture or heavy use due to its susceptibility to staining, scratching, and higher maintenance requirements. It is not recommended for areas where durability and ease of cleaning are critical."
Global,Leather,Pigmented Leather,22.00,Journal Paper,Proxy,An emission factor of a similar material (Cow Leather) was used as a proxy where a direct emission factor for the specified material could not be identified to date,Per reviewed Joural Paper (Springer Nature-Discover Sustainability),"Pigmented Leather

✅ Suitable for high-end furniture and interior fit-outs where aesthetics, softness, and a luxurious feel are prioritized. Ideal for low-traffic areas or spaces where the natural beauty of the leather can be showcased without excessive wear. 
❌ Not suitable for catering equipment or environments with high moisture or potential for spills, as it is prone to staining and requires significant maintenance. Not recommended for high-traffic areas or commercial settings where durability and ease of cleaning are critical."
Global,Leather,Nubuck Leather,12.76,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Referred PURE-ANILINE,"Nubuck Leather

✅ Suitable for high-end furniture and interior fit-outs where aesthetics and comfort are prioritized. Nubuck leather offers a luxurious appearance and a soft touch, making it ideal for premium seating, upholstery, and decorative elements in low-traffic, controlled environments. 
❌ Not suitable for catering equipment or environments with high moisture or potential for spills. Nubuck leather is prone to staining and requires careful maintenance, making it unsuitable for areas where durability and ease of cleaning are critical, such as kitchens, dining areas, or outdoor settings."
Global,Leather,Suede Leather,22.00,Journal Paper,Proxy,An emission factor of a similar material (Cow Leather) was used as a proxy where a direct emission factor for the specified material could not be identified to date,Per reviewed Joural Paper (Springer Nature-Discover Sustainability),"Suede Leather

✅ Suitable for high-end furniture and interior fit-outs where aesthetics, softness, and a luxurious feel are prioritized. Ideal for low-traffic areas where the risk of staining and wear is minimal. 
❌ Not suitable for catering equipment or environments with high moisture or potential for spills, such as kitchens or dining areas, due to its susceptibility to staining, water damage, and higher maintenance requirements."
Global,Leather,Patent Leather,22.00,Journal Paper,Proxy,An emission factor of a similar material (Cow Leather) was used as a proxy where a direct emission factor for the specified material could not be identified to date,Per reviewed Joural Paper (Springer Nature-Discover Sustainability),"Patent Leather

✅ Suitable for high-end furniture and interior fit-outs where a glossy, luxurious finish is desired. It offers a distinctive aesthetic appeal and is relatively easy to clean, making it ideal for decorative elements and low-traffic areas. 
❌ Not suitable for catering equipment or environments with high moisture or potential for spills, as patent leather can be prone to cracking and is not as durable as other materials in high-wear or high-moisture conditions. Additionally, it is not recommended for areas requiring high durability or exposure to direct sunlight, as it can fade or become damaged over time."
Sweden,Leather,Recycled Leather,4.24,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Eco Recycled Leather Yarn,"Recycled Leather

✅ Suitable for sustainable furniture and interior textiles, such as upholstery and decorative elements, due to its reduced environmental impact, aesthetic appeal, and good durability. 
❌ Not suitable for catering equipment or high-wear applications where hygiene, moisture resistance, and frequent cleaning are critical, such as kitchen surfaces, dining tables, or seating in high-traffic areas."
Global,Leather,Oiled Leather,22.00,Journal Paper,Proxy,An emission factor of a similar material (Cow Leather) was used as a proxy where a direct emission factor for the specified material could not be identified to date,Per reviewed Joural Paper (Springer Nature-Discover Sustainability),"Oiled Leather

✅ Suitable for high-end furniture and interior fit-outs where aesthetics, softness, and a luxurious feel are prioritized. Ideal for low-traffic areas or spaces where the leather can be maintained regularly to preserve its appearance and durability. 
❌ Not suitable for catering equipment or environments with high moisture or potential for spills, as it is prone to staining and requires significant maintenance. Not recommended for high-traffic areas or commercial settings where durability and ease of cleaning are critical."
Germany,Laminate,High-Pressure Laminate (HPL),1.36,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,High Pressure Laminates,"High-Pressure Laminate (HPL)

✅ Suitable for interior fit-outs and furniture, which are highly durable, scratch-resistant, and offer a wide range of aesthetic options, making it ideal for interior applications where visual appeal and longevity are important. It is also cost-effective, which is beneficial for large-scale projects.
❌ Not suitable for catering equipment or environments where it will be exposed to extreme heat or moisture for extended periods. These conditions can lead to delamination and compromise the material's integrity, posing hygiene risks. Therefore, it is unsuitable for surfaces in kitchens or food preparation areas that require frequent cleaning and exposure to high temperatures."
Germany,Laminate,Low-Pressure Laminate (LPL),1.36,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,High Pressure Laminates,"Low-Pressure Laminate (LPL)

✅ Suitable for interior fit-outs and furniture applications where moderate durability and cost-effectiveness are prioritized. LPL offers a range of aesthetic options and is ideal for areas with low to moderate wear and tear. 
❌ Not suitable for catering equipment or environments exposed to extreme heat, moisture, or heavy use. LPL may delaminate under such conditions and does not meet the hygiene standards required for food-related applications."
Germany,Laminate,Thermally Fused Laminate (TFL),1.36,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,High Pressure Laminates,"Thermally Fused Laminate (TFL)

✅ Suitable for interior fit-outs and furniture applications due to its high durability, scratch resistance, and aesthetic versatility. It is also cost-effective, making it a popular choice for both residential and commercial settings where moderate wear and tear are expected. 
❌ Not Suitable for use in catering equipment that is exposed to extreme heat or moisture for prolonged periods. These conditions can lead to potential delamination and pose hygiene concerns, as TFL may not withstand the rigorous cleaning and sanitization processes required in food service environments."
Germany,Laminate,Post-Formed Laminate,1.36,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,High Pressure Laminates,"Post-Formed Laminate

✅ Suitable for interior fit-outs and furniture applications requiring high durability and scratch resistance. Offers aesthetic versatility with a wide range of colors and patterns, making it cost-effective for decorative purposes in residential and commercial spaces. 
❌ Not suitable for environments exposed to extreme heat or moisture for prolonged periods, such as commercial kitchens. The material may delaminate under such conditions, and its surface may not meet hygiene standards required for food preparation areas."
Germany,Laminate,Textured Laminate,1.36,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,High Pressure Laminates,"Textured Laminate

✅ Suitable for interior fit-outs and furniture where a durable, scratch-resistant, and cost-effective surface is required. Ideal for high-traffic commercial settings such as offices, retail spaces, and educational environments. Its textured surface provides design flexibility and can effectively mimic natural materials like wood or stone, making it a preferred choice for decorative vertical and horizontal surfaces.
❌ Not suitable for catering equipment or environments with prolonged exposure to high moisture, steam, or heat, such as commercial kitchens or food preparation areas, where the laminate may delaminate or fail to meet hygiene standards. In such cases, materials like stainless steel or compact laminate are more appropriate due to their superior moisture and heat resistance."
Germany,Laminate,Glossy Laminate,1.36,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,High Pressure Laminates,"Glossy Laminate

✅ Suitable for interior fit-outs and furniture where a polished, high-shine aesthetic is desired alongside durability and cost-effectiveness. Ideal for decorative surfaces in office furniture, cabinetry, wall panels, and retail fixtures. Its smooth surface enhances visual appeal and is appropriate for low- to moderate-traffic indoor environments that require a refined look.
❌ Not suitable for catering equipment or environments with high heat, steam, or frequent moisture exposure, such as commercial kitchens. Glossy laminate can delaminate under such conditions and may not meet hygiene requirements due to its susceptibility to harboring bacteria. Frequent sanitization or high-temperature cleaning may degrade the surface over time."
Germany,Laminate,Matte Laminate,1.36,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,High Pressure Laminates,"Matte Laminate

✅ Suitable for interior fit-outs and furniture applications where high durability, scratch resistance, and a non-reflective aesthetic are desired. Ideal for office desks, cabinetry, shelving, and wall cladding in both residential and commercial settings. Offers cost-effective decorative versatility with a broad range of colors and textures.
❌ Not suitable for catering equipment or high-moisture environments such as commercial kitchens, where prolonged exposure to heat, steam, or frequent sanitization is required. Matte laminates may delaminate under these conditions and often do not meet the strict hygiene or temperature-resistance standards necessary for food preparation areas."
Germany,Laminate,Solid Color Laminate,1.36,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,High Pressure Laminates,"Solid Color Laminate

✅ Suitable for interior fit-outs and furniture where aesthetic uniformity, durability, and scratch resistance are important. Commonly used for cabinetry, desktops, partitions, and wall panels in commercial and residential settings due to its broad color range and cost-effectiveness.
❌ Not suitable for catering equipment or high-humidity environments such as commercial kitchens. Solid color laminates may delaminate when exposed to prolonged heat, steam, or aggressive cleaning, and they typically do not meet the hygiene or thermal resistance requirements for food contact or preparation surfaces."
Germany,Laminate,Fire-Retardant Laminate,1.71,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,"High-Pressure Laminate including antimicrobial, chemical-resistant, fire-rated, and markerboard variants","Fire-Retardant Laminate

✅ Suitable for interior fit-outs and furniture in public, commercial, or high-occupancy buildings where fire safety regulations apply—such as offices, schools, hospitals, and transit facilities. Combines flame resistance with high durability, scratch resistance, and aesthetic flexibility, making it ideal for wall panels, partitions, and cabinetry.
❌ Not suitable for catering equipment or food preparation areas exposed to prolonged heat, moisture, or harsh cleaning agents. Despite its fire-retardant properties, HPL may delaminate or fail under commercial kitchen conditions and typically does not meet the hygiene or temperature standards required for direct food contact surfaces."
